age_group,sex,education,income_group,race_group,obesity_rate,n
50-54,Male,Graduated high school,35k-50k,NH-White,0.4266159695817491,1315
30-34,Male,Graduated high school,35k-50k,NH-White,0.3287671232876712,1314
25-29,Male,Attended college or technical school,35k-50k,NH-White,0.3097412480974125,1314
45-49,Female,Attended college or technical school,35k-50k,NH-White,0.49124143183549124,1313
35-39,Female,Graduated college or technical school,35k-50k,NH-White,0.40412528647822765,1309
55-59,Female,Graduated high school,100k-200k,NH-White,0.34996102883865937,1283
30-34,Male,Attended college or technical school,35k-50k,NH-White,0.3430369787568843,1271
80+,Male,Attended college or technical school,15k-25k,NH-White,0.22336227308603,1267
80+,Female,Did not graduate high school,15k-25k,NH-White,0.27294303797468356,1264
60-64,Female,Graduated college or technical school,15k-25k,NH-White,0.39888977002379067,1261
35-39,Male,Graduated high school,35k-50k,NH-White,0.38394276629570745,1258
65-69,Male,Graduated high school,<15k,NH-White,0.3424,1250
18-24,Female,Graduated high school,25k-35k,NH-White,0.290088638195004,1241
18-24,Male,Attended college or technical school,25k-35k,NH-White,0.18211120064464142,1241
18-24,Male,Graduated high school,50k-100k,Hispanic,0.23208469055374592,1228
35-39,Male,Attended college or technical school,35k-50k,NH-White,0.3949096880131363,1218
55-59,Female,Attended college or technical school,<15k,NH-White,0.494195688225539,1206
18-24,Female,Attended college or technical school,15k-25k,NH-White,0.2155887230514096,1206
30-34,Male,Graduated high school,100k-200k,NH-White,0.3383333333333333,1200
18-24,Female,Attended college or technical school,35k-50k,NH-White,0.24288107202680068,1194
50-54,Female,Graduated high school,35k-50k,NH-White,0.4715242881072027,1194
18-24,Male,Graduated high school,15k-25k,NH-White,0.20302013422818793,1192
50-54,Female,Graduated high school,15k-25k,NH-White,0.5202360876897133,1186
50-54,Female,Graduated college or technical school,50k-100k,NH-Black,0.5533898305084746,1180
18-24,Female,Attended college or technical school,25k-35k,NH-White,0.2640067911714771,1178
55-59,Male,Graduated high school,<15k,NH-White,0.4107600341588386,1171
25-29,Female,Graduated high school,50k-100k,NH-White,0.4005123825789923,1171
45-49,Female,Graduated college or technical school,35k-50k,NH-White,0.4541559554413025,1167
35-39,Female,Attended college or technical school,25k-35k,NH-White,0.49609713790112747,1153
18-24,Male,Graduated college or technical school,100k-200k,NH-White,0.158123370981755,1151
50-54,Female,Attended college or technical school,25k-35k,NH-White,0.5078397212543554,1148
75-79,Male,Attended college or technical school,100k-200k,NH-White,0.3219298245614035,1140
50-54,Female,Attended college or technical school,15k-25k,NH-White,0.5044014084507042,1136
18-24,Male,Attended college or technical school,15k-25k,NH-White,0.1763668430335097,1134
40-44,Male,Graduated high school,35k-50k,NH-White,0.41061946902654867,1130
50-54,Male,Attended college or technical school,35k-50k,NH-White,0.46017699115044247,1130
30-34,Male,Graduated college or technical school,35k-50k,NH-White,0.28407079646017697,1130
55-59,Female,Graduated college or technical school,50k-100k,NH-Black,0.5164152617568767,1127
25-29,Male,Attended college or technical school,100k-200k,NH-White,0.2957998212689902,1119
40-44,Female,Graduated college or technical school,50k-100k,NH-Black,0.5205724508050089,1118
70-74,Male,Graduated college or technical school,15k-25k,NH-White,0.31272401433691754,1116
45-49,Female,Graduated college or technical school,50k-100k,NH-Black,0.5524663677130045,1115
18-24,Female,Graduated high school,35k-50k,NH-White,0.273542600896861,1115
60-64,Male,Graduated college or technical school,25k-35k,NH-White,0.37454873646209386,1108
55-59,Male,Graduated college or technical school,35k-50k,NH-White,0.36495031616982837,1107
65-69,Male,Graduated college or technical school,15k-25k,NH-White,0.34841628959276016,1105
75-79,Female,Graduated college or technical school,15k-25k,NH-White,0.2893539581437671,1099
75-79,Male,Attended college or technical school,15k-25k,NH-White,0.32572992700729925,1096
40-44,Female,Attended college or technical school,25k-35k,NH-White,0.4684354986276304,1093
40-44,Male,Attended college or technical school,35k-50k,NH-White,0.43474264705882354,1088
70-74,Female,Graduated college or technical school,200k+,NH-White,0.15930018416206262,1086
50-54,Female,Graduated high school,100k-200k,NH-White,0.4258064516129032,1085
25-29,Female,Attended college or technical school,35k-50k,NH-White,0.42051756007393715,1082
18-24,Female,Graduated college or technical school,35k-50k,NH-White,0.23048327137546468,1076
45-49,Male,Graduated high school,35k-50k,NH-White,0.4376163873370577,1074
70-74,Female,Attended college or technical school,<15k,NH-White,0.4257703081232493,1071
45-49,Female,Attended college or technical school,25k-35k,NH-White,0.49626168224299066,1070
18-24,Female,Graduated high school,15k-25k,NH-White,0.2825070159027128,1069
55-59,Female,Graduated college or technical school,25k-35k,NH-White,0.4026340545625588,1063
65-69,Female,Graduated college or technical school,50k-100k,NH-Black,0.4820754716981132,1060
50-54,Female,Graduated high school,25k-35k,NH-White,0.4881516587677725,1055
30-34,Female,Attended college or technical school,25k-35k,NH-White,0.4411764705882353,1054
55-59,Male,Attended college or technical school,25k-35k,NH-White,0.4185823754789272,1044
60-64,Female,Graduated college or technical school,50k-100k,NH-Black,0.49757516973811833,1031
75-79,Female,Graduated high school,<15k,NH-White,0.3699029126213592,1030
55-59,Male,Attended college or technical school,15k-25k,NH-White,0.4119960668633235,1017
25-29,Male,Graduated high school,25k-35k,NH-White,0.31268436578171094,1017
30-34,Female,Attended college or technical school,100k-200k,NH-White,0.33037475345167655,1014
50-54,Male,Graduated high school,25k-35k,NH-White,0.43172690763052207,996
50-54,Male,Graduated high school,15k-25k,NH-White,0.4676113360323887,988
60-64,Male,Attended college or technical school,<15k,NH-White,0.3854059609455293,973
30-34,Female,Graduated college or technical school,50k-100k,Hispanic,0.30167014613778703,958
30-34,Female,Graduated high school,25k-35k,NH-White,0.43414120126448896,949
45-49,Female,Attended college or technical school,15k-25k,NH-White,0.5031645569620253,948
18-24,Female,Graduated college or technical school,100k-200k,NH-White,0.13665254237288135,944
35-39,Female,Graduated college or technical school,50k-100k,Hispanic,0.32762312633832974,934
35-39,Male,Graduated college or technical school,35k-50k,NH-White,0.33440514469453375,933
35-39,Female,Graduated college or technical school,50k-100k,NH-Black,0.4989247311827957,930
35-39,Female,Graduated high school,35k-50k,NH-White,0.4666666666666667,930
25-29,Female,Attended college or technical school,25k-35k,NH-White,0.4268817204301075,930
18-24,Male,Graduated high school,35k-50k,Hispanic,0.24542518837459634,929
50-54,Female,Attended college or technical school,<15k,NH-White,0.49676724137931033,928
70-74,Female,Graduated college or technical school,50k-100k,NH-Black,0.4519956850053937,927
25-29,Female,Graduated college or technical school,50k-100k,Hispanic,0.28077753779697623,926
40-44,Female,Graduated high school,35k-50k,NH-White,0.4652173913043478,920
