age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed,obesity_rate_modeled
75-79,Female,Attended college or technical school,15k-25k,NH-White,0.3567246169626071,1892,1,0.3564566088766634,0.3472566552775353
45-49,Male,Graduated high school,100k-200k,NH-White,0.4675479159071711,1839,1,0.4654934426543511,0.4287011973544136
18-24,Male,Graduated high school,100k-200k,NH-White,0.1582607628865463,1827,1,0.1611895749926842,0.19670999131012218
70-74,Male,Attended college or technical school,100k-200k,NH-White,0.3420975340738598,1804,1,0.3420559315359529,0.34085312376677585
60-64,Female,Attended college or technical school,15k-25k,NH-White,0.455132871498668,1799,1,0.4532371037691625,0.4432271652184202
75-79,Male,Graduated college or technical school,200k+,NH-White,0.1920891944853199,1777,1,0.1945374242214211,0.17429684604823428
75-79,Male,Graduated high school,25k-35k,NH-White,0.3544847668887351,1755,1,0.3542338335335712,0.33156322578094205
60-64,Male,Attended college or technical school,35k-50k,NH-White,0.411381688518226,1716,1,0.4101475397852063,0.41743889993037664
30-34,Male,Attended college or technical school,100k-200k,NH-White,0.3710907282689189,1691,1,0.3705409927196028,0.35845894552727525
65-69,Female,Graduated college or technical school,200k+,NH-White,0.1531615968411108,1658,1,0.156474262162474,0.23631474544414663
80+,Male,Attended college or technical school,25k-35k,NH-White,0.1836599345882133,1636,1,0.1864671548343406,0.22498685170314395
75-79,Female,Graduated college or technical school,25k-35k,NH-White,0.2928515102787989,1625,1,0.2936980852995424,0.2795583127868384
80+,Male,Graduated high school,15k-25k,NH-White,0.2033533724003326,1619,1,0.2058312534165148,0.22449583684588115
70-74,Male,Graduated college or technical school,25k-35k,NH-White,0.346430377903394,1618,1,0.346305205349142,0.30097471140748766
35-39,Female,Attended college or technical school,100k-200k,NH-White,0.3496464527581902,1614,1,0.3494622881504948,0.406101585027275
18-24,Female,Attended college or technical school,50k-100k,NH-White,0.2143515115695932,1609,1,0.2166432026132824,0.2243562308728047
