age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
45-49,Female,Did not graduate high school,25k-35k,NHOPI,0.1368547386659247,2,0
60-64,Male,Did not graduate high school,25k-35k,Asian,0.0,2,0
70-74,Female,Did not graduate high school,<15k,NHOPI,0.0,2,0
45-49,Female,Graduated high school,200k+,AIAN,0.0,2,0
25-29,Female,Did not graduate high school,100k-200k,Hispanic,0.0,2,0
40-44,Male,Did not graduate high school,200k+,Asian,0.0,2,0
70-74,Female,Did not graduate high school,100k-200k,Hispanic,0.0,2,0
45-49,Female,Did not graduate high school,<15k,Asian,0.896749585431721,2,0
80+,Male,Did not graduate high school,25k-35k,Asian,0.0060226722959414,2,0
80+,Male,Did not graduate high school,100k-200k,AIAN,0.0,2,0
80+,Male,Did not graduate high school,100k-200k,Hispanic,0.0,2,0
60-64,Female,Did not graduate high school,200k+,NH-Black,0.4140897636548953,2,0
55-59,Male,Did not graduate high school,25k-35k,NHOPI,0.2724997558850733,2,0
18-24,Female,Did not graduate high school,100k-200k,NH-Black,0.0,2,0
55-59,Female,Did not graduate high school,50k-100k,NHOPI,0.9308586647240236,2,0
35-39,Male,Attended college or technical school,<15k,NHOPI,0.4610568301541075,2,0
65-69,Female,Did not graduate high school,200k+,NH-White,0.5993833716593666,2,0
80+,Female,Did not graduate high school,35k-50k,NHOPI,0.0337515851260513,2,0
25-29,Female,Graduated college or technical school,200k+,NHOPI,1.0,2,0
65-69,Female,Graduated high school,200k+,Asian,0.0,2,0
65-69,Female,Did not graduate high school,50k-100k,NHOPI,1.0,2,0
55-59,Male,Did not graduate high school,50k-100k,NHOPI,0.3132701586332523,2,0
70-74,Male,Graduated high school,200k+,AIAN,1.0,2,0
25-29,Male,Did not graduate high school,200k+,Other/Multiracial,0.0,2,0
55-59,Male,Did not graduate high school,200k+,AIAN,1.0,2,0
75-79,Female,Did not graduate high school,15k-25k,NHOPI,0.0,2,0
75-79,Female,Graduated high school,200k+,NH-Black,0.5033524496559173,2,0
75-79,Female,Graduated high school,200k+,Hispanic,0.0,2,0
