age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed
18-24,Male,Attended college or technical school,100k-200k,NH-White,0.1892958491300287,1464,1,0.19231308573899364
55-59,Male,Graduated high school,35k-50k,NH-White,0.4171328268778974,1451,1,0.4155613496067006
65-69,Male,Graduated college or technical school,25k-35k,NH-White,0.3269998434298263,1443,1,0.3272555336299619
30-34,Female,Graduated college or technical school,200k+,NH-White,0.1228914886257792,1411,1,0.12740216337173418
18-24,Female,Graduated high school,50k-100k,NH-White,0.2573441272823867,1404,1,0.25906400395548496
65-69,Male,Attended college or technical school,15k-25k,NH-White,0.3417044050030812,1403,1,0.3416593909190631
60-64,Male,Attended college or technical school,25k-35k,NH-White,0.4010286570087227,1395,1,0.3997344585928861
55-59,Female,Graduated college or technical school,35k-50k,NH-White,0.3503971089165363,1395,1,0.35016883782895625
40-44,Female,Graduated high school,50k-100k,NH-White,0.4157446367779131,1394,1,0.4141395018511977
45-49,Female,Graduated high school,50k-100k,NH-White,0.4311149312725538,1393,1,0.4291846284120604
25-29,Female,Graduated college or technical school,35k-50k,NH-White,0.2708842717647748,1355,1,0.27237170773210423
80+,Male,Graduated college or technical school,200k+,NH-White,0.1353124183655522,1353,1,0.13974282647598454
70-74,Male,Attended college or technical school,15k-25k,NH-White,0.3649556290791386,1347,1,0.3644022217409544
60-64,Male,Graduated college or technical school,35k-50k,NH-White,0.3444318114087719,1342,1,0.34432515880340114
60-64,Female,Graduated high school,100k-200k,NH-White,0.356910311535153,1321,1,0.3565249063698236
55-59,Female,Graduated high school,25k-35k,NH-White,0.4604364961659881,1293,1,0.4576954017462715
55-59,Female,Graduated high school,35k-50k,NH-White,0.4688674055620101,1293,1,0.46593513405848347
55-59,Female,Graduated high school,100k-200k,NH-White,0.3417827461707778,1283,1,0.3417318281072372
60-64,Female,Graduated college or technical school,25k-35k,NH-White,0.3540677298690495,1280,1,0.3537353596947159
60-64,Female,Graduated high school,<15k,NH-White,0.4240209423376626,1276,1,0.42208066568954977
25-29,Male,Graduated high school,35k-50k,NH-White,0.3358566963451393,1272,1,0.33594189302512417
75-79,Male,Graduated college or technical school,25k-35k,NH-White,0.3063297026446257,1253,1,0.30710658174700745
55-59,Female,Attended college or technical school,25k-35k,NH-White,0.454814519985978,1231,1,0.45207240370375373
