age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
25-29,Male,Graduated high school,35k-50k,NH-White,0.3358566963451393,1272,1
75-79,Male,Graduated college or technical school,25k-35k,NH-White,0.3063297026446257,1253,1
55-59,Female,Attended college or technical school,25k-35k,NH-White,0.454814519985978,1231,1
50-54,Female,Attended college or technical school,35k-50k,NH-White,0.4692499924064757,1231,1
60-64,Male,Attended college or technical school,15k-25k,NH-White,0.3992274284871681,1228,1
55-59,Male,Graduated high school,25k-35k,NH-White,0.4390721732919436,1220,1
65-69,Female,Graduated high school,<15k,NH-White,0.3961806011575036,1217,1
55-59,Female,Graduated high school,15k-25k,NH-White,0.4969013506065397,1216,1
35-39,Female,Graduated high school,50k-100k,NH-White,0.4316057152829353,1210,1
30-34,Male,Graduated high school,100k-200k,NH-White,0.3640741361186026,1200,1
60-64,Male,Graduated high school,<15k,NH-White,0.3956468860562407,1190,1
25-29,Male,Graduated college or technical school,35k-50k,NH-White,0.1831610247680439,1181,1
80+,Female,Graduated high school,<15k,NH-White,0.2418000344776604,1179,1
80+,Female,Graduated college or technical school,15k-25k,NH-White,0.246801041621539,1177,1
65-69,Female,Graduated college or technical school,15k-25k,NH-White,0.3823253485802861,1160,1
30-34,Female,Graduated high school,50k-100k,NH-White,0.4064853145946696,1159,1
70-74,Female,Graduated college or technical school,15k-25k,NH-White,0.3753563794589011,1155,1
18-24,Male,Graduated college or technical school,100k-200k,NH-White,0.1552044250192211,1151,1
18-24,Male,Attended college or technical school,35k-50k,NH-White,0.1914996524677151,1146,1
55-59,Male,Graduated high school,15k-25k,NH-White,0.4594354232332034,1140,1
75-79,Male,Attended college or technical school,100k-200k,NH-White,0.3349453942002031,1140,1
55-59,Male,Attended college or technical school,35k-50k,NH-White,0.4262146947508757,1137,1
25-29,Male,Attended college or technical school,100k-200k,NH-White,0.3024775888453751,1119,1
50-54,Female,Graduated college or technical school,35k-50k,NH-White,0.4249508066862594,1107,1
