age,sex,race,education,income,weight,year,prop
18-24,Male,AIAN,Did not graduate high school,15k-25k,2954,2020,1.2039476228007319e-05
18-24,Male,AIAN,Did not graduate high school,200k+,526,2020,2.1437929911753043e-06
18-24,Male,AIAN,Did not graduate high school,25k-35k,2088,2020,8.509961531509573e-06
18-24,Male,AIAN,Did not graduate high school,35k-50k,2876,2020,1.1721575366198052e-05
18-24,Male,AIAN,Did not graduate high school,50k-100k,4654,2020,1.8968084754619517e-05
18-24,Male,AIAN,Did not graduate high school,<15k,3130,2020,1.2756790993115404e-05
18-24,Male,AIAN,Graduated college or technical school,100k-200k,465,2020,1.8951782146321606e-06
18-24,Male,AIAN,Graduated college or technical school,15k-25k,174,2020,7.091634609591311e-07
18-24,Male,AIAN,Graduated college or technical school,200k+,258,2020,1.0515182352152635e-06
18-24,Male,AIAN,Graduated college or technical school,25k-35k,197,2020,8.029034586721197e-07
18-24,Male,AIAN,Graduated college or technical school,35k-50k,364,2020,1.4835373551099065e-06
18-24,Male,AIAN,Graduated college or technical school,50k-100k,988,2020,4.0267442495840316e-06
18-24,Male,AIAN,Graduated college or technical school,<15k,257,2020,1.0474425831407857e-06
18-24,Male,AIAN,Graduated high school,100k-200k,7218,2020,2.9418056673580507e-05
18-24,Male,AIAN,Graduated high school,15k-25k,3799,2020,1.548340223094103e-05
18-24,Male,AIAN,Graduated high school,200k+,1005,2020,4.096030334850154e-06
18-24,Male,AIAN,Graduated high school,25k-35k,3675,2020,1.4978021373705787e-05
18-24,Male,AIAN,Graduated high school,35k-50k,6274,2020,2.5570641115273497e-05
18-24,Male,AIAN,Graduated high school,50k-100k,11760,2020,4.792966839585852e-05
18-24,Male,AIAN,Graduated high school,<15k,4232,2020,1.72481595791899e-05
18-24,Male,Asian,Attended college or technical school,100k-200k,143108,2020,0.000583258417074364
18-24,Male,Asian,Attended college or technical school,15k-25k,36411,2020,0.0001483985676838099
18-24,Male,Asian,Attended college or technical school,200k+,54964,2020,0.00022401414062159588
18-24,Male,Asian,Attended college or technical school,25k-35k,34154,2020,0.0001391998209517136
18-24,Male,Asian,Attended college or technical school,35k-50k,51825,2020,0.00021122066875981017
18-24,Male,Asian,Attended college or technical school,50k-100k,145988,2020,0.00059499629504886
18-24,Male,Asian,Attended college or technical school,<15k,70433,2020,0.00028706040256169243
18-24,Male,Asian,Did not graduate high school,100k-200k,33581,2020,0.00013686447231303782
18-24,Male,Asian,Did not graduate high school,15k-25k,10795,2020,4.3996664143987476e-05
18-24,Male,Asian,Did not graduate high school,200k+,13601,2020,5.543294386497208e-05
18-24,Male,Asian,Did not graduate high school,25k-35k,12144,2020,4.949471879245798e-05
18-24,Male,Asian,Did not graduate high school,35k-50k,20923,2020,8.527486835429828e-05
