_STATE,state_code,age_group,sex,education,income_group,race_group,observed,n,predicted,residual
2.0,1,50-54,Female,Graduated college or technical school,200k+,NH-White,0.21766880876952305,50.0,0.28700395218767677,-0.06933514341815372
2.0,1,50-54,Female,Graduated college or technical school,50k-100k,NH-White,0.4192088652261521,75.0,0.3909050628268388,0.028303802399313294
2.0,1,50-54,Male,Attended college or technical school,100k-200k,NH-White,0.5794166846757846,63.0,0.42751108301404167,0.15190560166174288
2.0,1,50-54,Male,Attended college or technical school,50k-100k,NH-White,0.4610590925353084,46.0,0.4488034410171505,0.01225565151815794
2.0,1,50-54,Male,Graduated college or technical school,100k-200k,NH-White,0.4734076653910884,108.0,0.3504037744567881,0.12300389093430031
2.0,1,50-54,Male,Graduated college or technical school,200k+,NH-White,0.32781453198586147,47.0,0.2694866585732357,0.05832787341262574
2.0,1,50-54,Male,Graduated college or technical school,50k-100k,NH-White,0.34701630850630705,54.0,0.370340081261738,-0.02332377275543096
2.0,1,55-59,Female,Attended college or technical school,100k-200k,NH-White,0.2869363446930014,53.0,0.42913872729621244,-0.14220238260321105
2.0,1,55-59,Female,Attended college or technical school,50k-100k,NH-White,0.4108429729404514,50.0,0.45044836646178466,-0.03960539352133324
2.0,1,55-59,Female,Graduated college or technical school,100k-200k,NH-White,0.33527296995240413,113.0,0.3519183120696151,-0.01664534211721097
2.0,1,55-59,Female,Graduated college or technical school,50k-100k,NH-White,0.29944429664659916,94.0,0.3718914568573682,-0.07244716021076902
2.0,1,55-59,Male,Attended college or technical school,100k-200k,NH-White,0.6676142493787369,68.0,0.40790936842506936,0.25970488095366756
2.0,1,55-59,Male,Attended college or technical school,50k-100k,NH-White,0.4369407475606838,51.0,0.4289569599348266,0.00798378762585722
2.0,1,55-59,Male,Graduated college or technical school,100k-200k,NH-White,0.27818008926103016,128.0,0.3322854467070441,-0.05410535744601391
2.0,1,55-59,Male,Graduated college or technical school,200k+,NH-White,0.37568111485750494,56.0,0.25391686017909076,0.12176425467841417
2.0,1,55-59,Male,Graduated college or technical school,50k-100k,NH-White,0.3315859863851503,65.0,0.3517490988275696,-0.020163112442419306
2.0,1,55-59,Male,Graduated high school,50k-100k,NH-White,0.41558457514433583,39.0,0.4307455777638472,-0.015161002619511366
2.0,1,60-64,Female,Attended college or technical school,100k-200k,NH-White,0.2708707833425521,53.0,0.40631131559332323,-0.13544053225077113
2.0,1,60-64,Female,Attended college or technical school,50k-100k,NH-White,0.3594721228573822,79.0,0.42733596256065626,-0.06786383970327403
2.0,1,60-64,Female,Graduated college or technical school,100k-200k,NH-White,0.3338745308073275,113.0,0.33081812896350765,0.0030564018438198337
2.0,1,60-64,Female,Graduated college or technical school,200k+,NH-White,0.22368513663163256,30.0,0.2526646542843568,-0.028979517652724246
2.0,1,60-64,Female,Graduated college or technical school,50k-100k,NH-White,0.2495110584098923,147.0,0.35024091584832956,-0.10072985743843726
2.0,1,60-64,Female,Graduated high school,50k-100k,NH-White,0.3469980659772329,49.0,0.42912290057514196,-0.08212483459790909
2.0,1,60-64,Male,Attended college or technical school,100k-200k,NH-White,0.43858584022077374,64.0,0.3854487356329899,0.05313710458778381
2.0,1,60-64,Male,Attended college or technical school,50k-100k,NH-White,0.4584656228822921,79.0,0.4061323382959873,0.05233328458630476
2.0,1,60-64,Male,Graduated college or technical school,100k-200k,NH-White,0.4289379437992734,106.0,0.3117960742284797,0.1171418695707937
2.0,1,60-64,Male,Graduated college or technical school,200k+,NH-White,0.23318547719970428,45.0,0.23654791207322512,-0.0033624348735208365
2.0,1,60-64,Male,Graduated college or technical school,50k-100k,NH-White,0.35836875811334523,89.0,0.33065388500660164,0.027714873106743587
2.0,1,60-64,Male,Graduated high school,100k-200k,NH-White,0.44528229303778416,34.0,0.38717894129876923,0.05810335173901493
2.0,1,60-64,Male,Graduated high school,50k-100k,NH-White,0.371598473521968,69.0,0.4078937652158524,-0.0362952916938844
2.0,1,65-69,Female,Attended college or technical school,15k-25k,NH-White,0.4892053888445683,32.0,0.41228417403330314,0.07692121481126518
2.0,1,65-69,Female,Attended college or technical school,35k-50k,NH-White,0.3161987555850073,35.0,0.40806739675551695,-0.09186864117050964
2.0,1,65-69,Female,Attended college or technical school,50k-100k,NH-White,0.3700215999435308,103.0,0.40138486724078043,-0.03136326729724964
2.0,1,65-69,Female,Graduated college or technical school,100k-200k,NH-White,0.24919401937707772,106.0,0.30758020451862056,-0.05838618514154284
2.0,1,65-69,Female,Graduated college or technical school,35k-50k,NH-White,0.3706039368162837,49.0,0.3324306266880785,0.038173310128205185
2.0,1,65-69,Female,Graduated college or technical school,50k-100k,NH-White,0.2577463137292828,170.0,0.326303930591007,-0.06855761686172418
2.0,1,65-69,Male,Attended college or technical school,100k-200k,NH-White,0.330759496927055,59.0,0.3604403150682894,-0.02968081814123441
2.0,1,65-69,Male,Attended college or technical school,35k-50k,NH-White,0.21916412783408595,33.0,0.3871734516717756,-0.16800932383768963
2.0,1,65-69,Male,Attended college or technical school,50k-100k,NH-White,0.4647859276632212,97.0,0.3806130730966892,0.08417285456653201
2.0,1,65-69,Male,Graduated college or technical school,100k-200k,NH-White,0.21915929002291704,128.0,0.2893166414913651,-0.07015735146844806
2.0,1,65-69,Male,Graduated college or technical school,200k+,NH-White,0.2500273957619446,52.0,0.21777687227891934,0.03225052348302526
2.0,1,65-69,Male,Graduated college or technical school,50k-100k,NH-White,0.32210911049025753,125.0,0.30742219752833555,0.014686912961921983
2.0,1,65-69,Male,Graduated high school,100k-200k,NH-White,0.38120399778485026,32.0,0.36212441076762625,0.01907958701722401
2.0,1,65-69,Male,Graduated high school,15k-25k,NH-White,0.4908484304305749,45.0,0.39305675382423305,0.09779167660634186
2.0,1,65-69,Male,Graduated high school,50k-100k,NH-White,0.253917189311577,96.0,0.3823350767303783,-0.12841788741880134
2.0,1,70-74,Female,Attended college or technical school,100k-200k,NH-White,0.3059511278459301,33.0,0.3564171047576336,-0.050465976911703514
2.0,1,70-74,Female,Attended college or technical school,35k-50k,NH-White,0.29713506463048467,39.0,0.38303055493445864,-0.08589549030397398
2.0,1,70-74,Female,Attended college or technical school,50k-100k,NH-White,0.30260274681771593,89.0,0.37649724755509406,-0.07389450073737813
2.0,1,70-74,Female,Graduated college or technical school,100k-200k,NH-White,0.27511367728373837,78.0,0.285732632372453,-0.010618955088714632
2.0,1,70-74,Female,Graduated college or technical school,35k-50k,NH-White,0.317628254634066,48.0,0.3096071769600231,0.00802107767404292
2.0,1,70-74,Female,Graduated college or technical school,50k-100k,NH-White,0.2986747622869172,134.0,0.3037097491893647,-0.005034986902447525
2.0,1,70-74,Male,Attended college or technical school,35k-50k,NH-White,0.3411036972243932,43.0,0.36263320075287014,-0.021529503528476934
2.0,1,70-74,Male,Attended college or technical school,50k-100k,NH-White,0.22753145664729044,79.0,0.3562469174330788,-0.12871546078578835
2.0,1,70-74,Male,Graduated college or technical school,100k-200k,NH-White,0.28838247478768364,118.0,0.2682637387742228,0.020118736013460814
2.0,1,70-74,Male,Graduated college or technical school,200k+,NH-White,0.12574477216014718,33.0,0.2004613656963009,-0.07471659353615373
2.0,1,70-74,Male,Graduated college or technical school,35k-50k,NH-White,0.22622488439428612,34.0,0.2912738858276507,-0.06504900143336456
2.0,1,70-74,Male,Graduated college or technical school,50k-100k,NH-White,0.2143948870017568,144.0,0.28558121975885387,-0.07118633275709707
2.0,1,70-74,Male,Graduated high school,50k-100k,NH-White,0.3598035592096904,50.0,0.3579223851640515,0.0018811740456389225
2.0,1,75-79,Female,Attended college or technical school,50k-100k,NH-White,0.28954096745322394,46.0,0.33275261906174514,-0.043211651608521195
2.0,1,75-79,Female,Graduated college or technical school,100k-200k,NH-White,0.24658531679222176,53.0,0.2483335399097682,-0.001748223117546438
2.0,1,75-79,Female,Graduated college or technical school,35k-50k,NH-White,0.2043046900752654,34.0,0.2702655881135283,-0.06596089803826291
2.0,1,75-79,Female,Graduated college or technical school,50k-100k,NH-White,0.385859765800713,103.0,0.2648300846681833,0.12102968113252971
2.0,1,75-79,Male,Attended college or technical school,50k-100k,NH-White,0.30112823941779376,60.0,0.3136714704092965,-0.01254323099150273
2.0,1,75-79,Male,Graduated college or technical school,100k-200k,NH-White,0.2600786606647555,75.0,0.23240715238271362,0.027671508282041873
