age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed,obesity_rate_modeled
80+,Male,Attended college or technical school,25k-35k,NH-White,0.1834656052422537,1636,1,0.1862767301284014,0.22506512553560792
75-79,Female,Graduated college or technical school,25k-35k,NH-White,0.2937018157066018,1625,1,0.2945333853418838,0.27948880229846274
80+,Male,Graduated high school,15k-25k,NH-White,0.2025124892789826,1619,1,0.205006077841275,0.224536989151746
70-74,Male,Graduated college or technical school,25k-35k,NH-White,0.3460139671910828,1618,1,0.3458967846679379,0.300918397214621
35-39,Female,Attended college or technical school,100k-200k,NH-White,0.3496712187331233,1614,1,0.3494870129275247,0.4062865026950902
18-24,Female,Attended college or technical school,50k-100k,NH-White,0.2143750620391916,1609,1,0.2166667340077174,0.22453739145665588
35-39,Male,Graduated high school,100k-200k,NH-White,0.400317241516357,1571,1,0.3991790684820653,0.3871545348630931
70-74,Male,Graduated high school,15k-25k,NH-White,0.3456797880437981,1567,1,0.345565140940652,0.37268685505615873
65-69,Male,Graduated high school,100k-200k,NH-White,0.3973575664835075,1551,1,0.3962611561249271,0.3664127772574193
25-29,Female,Attended college or technical school,50k-100k,NH-White,0.3840948097445786,1545,1,0.3832468465225165,0.3469867681159812
18-24,Male,Graduated high school,25k-35k,NH-White,0.1960790616120675,1543,1,0.1988158259917417,0.2203080900221218
55-59,Female,Attended college or technical school,35k-50k,NH-White,0.4213426137126927,1514,1,0.4197538985612736,0.46192303860880346
80+,Male,Graduated college or technical school,25k-35k,NH-White,0.2108513803602572,1487,1,0.2133970367918866,0.17341131889749492
75-79,Male,Attended college or technical school,25k-35k,NH-White,0.3956112840172182,1487,1,0.3945031519783738,0.3298207779039254
70-74,Female,Attended college or technical school,100k-200k,NH-White,0.2710438324772502,1482,1,0.2724036124000492,0.3606761000471881
18-24,Male,Attended college or technical school,100k-200k,NH-White,0.1895844609550091,1464,1,0.1925963541202965,0.19573408211609225
55-59,Male,Graduated high school,35k-50k,NH-White,0.4181048765877126,1451,1,0.4165141648523704,0.4421221343213983
65-69,Male,Graduated college or technical school,25k-35k,NH-White,0.3281624108283824,1443,1,0.3283948819028822,0.32340136919001494
30-34,Female,Graduated college or technical school,200k+,NH-White,0.1233170948392374,1411,1,0.1278193775404258,0.2317685794525636
18-24,Female,Graduated high school,50k-100k,NH-White,0.2572923923813209,1404,1,0.2590138222600866,0.22581069885337396
65-69,Male,Attended college or technical school,15k-25k,NH-White,0.34201090498951,1403,1,0.341959945511425,0.3957366515565982
60-64,Male,Attended college or technical school,25k-35k,NH-White,0.4004761235401846,1395,1,0.3991940312674716,0.4241004418537363
55-59,Female,Graduated college or technical school,35k-50k,NH-White,0.3501990129330971,1395,1,0.3499753861468491,0.38275876558310656
40-44,Female,Graduated high school,50k-100k,NH-White,0.416490704047683,1394,1,0.4148703256039746,0.4500067399460006
45-49,Female,Graduated high school,50k-100k,NH-White,0.4321242805514403,1393,1,0.4301731728923021,0.4717143330645298
25-29,Female,Graduated college or technical school,35k-50k,NH-White,0.2710405961519239,1355,1,0.2725251335764957,0.2829602756015604
80+,Male,Graduated college or technical school,200k+,NH-White,0.1351595929191168,1353,1,0.1395938043652601,0.11070031802981188
70-74,Male,Attended college or technical school,15k-25k,NH-White,0.3645128969233274,1347,1,0.3639696255434362,0.37098220635690793
60-64,Male,Graduated college or technical school,35k-50k,NH-White,0.3454038238692073,1342,1,0.3452764095117098,0.3409703160190962
60-64,Female,Graduated high school,100k-200k,NH-White,0.3570970656820182,1321,1,0.3567080133112774,0.41255356089124473
55-59,Female,Graduated high school,25k-35k,NH-White,0.4607887301845695,1293,1,0.4580401589918654,0.4706471264381972
55-59,Female,Graduated high school,35k-50k,NH-White,0.467325889753038,1293,1,0.4644290836494843,0.463737486442475
55-59,Female,Graduated high school,100k-200k,NH-White,0.3422847276372003,1283,1,0.3422228543610949,0.43547443251644297
60-64,Female,Graduated college or technical school,25k-35k,NH-White,0.3532392745802538,1280,1,0.3529263921223775,0.3672654926532913
60-64,Female,Graduated high school,<15k,NH-White,0.4232278426148801,1276,1,0.4213063012206559,0.4382193034485122
25-29,Male,Graduated high school,35k-50k,NH-White,0.3367213203201019,1272,1,0.3367871134137936,0.33525242504729497
75-79,Male,Graduated college or technical school,25k-35k,NH-White,0.3058601754399229,1253,1,0.3066485596600258,0.26226147698633023
55-59,Female,Attended college or technical school,25k-35k,NH-White,0.4560319386870706,1231,1,0.4532613947195667,0.4688292790324327
50-54,Female,Attended college or technical school,35k-50k,NH-White,0.4681827039656862,1231,1,0.4651230854871921,0.48200733097942816
60-64,Male,Attended college or technical school,15k-25k,NH-White,0.3982902243413137,1228,1,0.3968900617716398,0.42157974821881883
55-59,Male,Graduated high school,25k-35k,NH-White,0.4390361671918096,1220,1,0.4366491409532779,0.4489793541320127
